Name,Country,Gender,Flights,Total Flights,Total Flight Time (ddd:hh:mm),Year,Group,Status,Birth Date,Birth Place,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Michael Gernhardt,United States,Man,"STS-69 (1995), STS-83 (1997), STS-94 (1997), STS-104 (2001)",4,043:07:01,1992.0,14.0,Management,5/4/1956,Ohio,Vanderbilt University; University of Pennsylvania,Physics,Bioengineering,0,0,4,1039,4,23.0,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",0,0
Michael J. Bloomfield,United States,Man,"STS-86 (1997), STS-97 (2000), STS-110 (2002)",3,033:11:01,1995.0,15.0,Retired,3/16/1959,Michigan,US Air Force Academy; Old Dominion University,Engineering Mechanics,Engineering Management,Colonel,US Air Force (Retired),3,779,0,0.0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)",0,0
Michael J. McCulley,United States,Man,STS-34 (1989),1,004:23:39,1984.0,10.0,Retired,8/4/1943,California,Purdue University,Metallurgical Engineering,Metallurgical Engineering,Captain,US Navy (Retired),1,119,0,0.0,STS-34 (Atlantis),0,0
Michael J. Smith,United States,Man,STS-51-L (1986),1,000:00:01,1980.0,9.0,Deceased,4/30/1945,North Carolina,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,Captain,US Navy,1,0,0,0.0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
Michael Lopez-Alegria,United States,Man,"STS-73 (1995), STS-92 (2000), STS-113 (2002), Soyuz TMA-9 (2006)",4,258:22:46,1992.0,14.0,Retired,5/30/1958,Spain,US Naval Academy; US Naval Postgraduate School,Systems Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,6190,10,67.0,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), ISS-14 (Soyuz)",0,0
Michael Massimino,United States,Man,"STS-109 (2002), STS-125 (2009)",2,023:19:48,1996.0,16.0,Management,8/19/1962,New York,Columbia University; MIT,Industrial Engineering,Technology & Policy; Mechanical Engineering,0,0,2,571,4,30.0,"STS-109 (Columbia), STS-125 (Atlantis)",0,0
Michael P. Anderson,United States,Man,"STS-89 (1998), STS-107 (2003)",2,024:18:08,1995.0,15.0,Deceased,12/25/1959,New York,University of Washington; Creighton University,Physics & Astronomy,Physics,Lieutenant Colonel,US Air Force,2,594,0,0.0,"STS-89 (Endeavor), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
Michael R. Clifford,United States,Man,"STS-53 (1992), STS-59 (1994), STS-76 (1996)",3,027:18:25,1990.0,13.0,Retired,10/13/1952,California,US Military Academy; Georgia Institute of Technology,0,Aerospace Engineering,Lieutenant Colonel,US Army (Retired),3,666,1,6.0,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",0,0
Michael S. Hopkins,United States,Man,"Soyuz TMA-10M (2013), SpaceX Crew-1 (2020)",2,333:12:54,2009.0,20.0,Active,12/28/1968,Missouri,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force,1,3990,2,13.0,ISS-37/38 (Soyuz),0,0
Michael T. Good,United States,Man,"STS-125 (2009), STS-132 (2010)",2,024:16:06,2000.0,18.0,Management,10/13/1962,Ohio,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,592,4,30.0,"STS-125 (Atlantis), STS-132 (Atlantis)",0,0
Millie Hughes-Fulford,United States,Woman,STS-40 (1991),1,009:02:14,0.0,0.0,Retired,12/21/1945,Texas,Tarleton State University; Texas Woman’s University,Chemistry & Biology,0,0,0,1,218,0,0.0,STS-40 (Columbia),0,0
Nancy J. Currie,United States,Woman,"STS-57 (1993), STS-70 (1995), STS-88 (1998), STS-109 (2002)",4,041:15:33,1990.0,13.0,Management,12/29/1958,Delaware,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,Colonel,US Army (Retired),4,999,0,0.0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",0,0
Neil Armstrong,United States,Man,"Gemini 8 (1966), Apollo 11 (1969)",2,008:14:00,1962.0,2.0,Deceased,8/5/1930,Ohio,Purdue University; University of Southern California,Aeronautical Engineering,Aerospace Engineering,0,0,2,205,1,2.0,"Gemini 8, Apollo 11",8/25/2012,0
Nicole Marie Passonno Stott,United States,Woman,"STS-128 (2009), STS-133 (2011)",2,026:15:58,2000.0,18.0,Active,11/19/1962,New York,Embry-Riddle Aeronautical University; University of Central Florida,Aeronautical Engineering,Engineering Management,0,0,2,2477,1,6.0,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",0,0
Owen Garriott,United States,Man,"Skylab 3 (1973), STS-9 (1983)",2,069:17:56,1965.0,4.0,Retired,11/22/1930,Oklahoma,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,0,0,2,1674,3,14.0,"Skylab 3, STS-9 (Columbia)",0,0
Pamela Melroy,United States,Woman,"STS-92 (2000), STS-112 (2002), STS-120 (2007)",3,038:20:04,1995.0,15.0,Retired,9/17/1961,California,Wellesley College; MIT,Physics & Astronomy,Earth & Planetary Sciences,Colonel,US Air Force (Retired),3,914,0,0.0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",0,0
Patrick Forrester,United States,Man,"STS-105 (2001), STS-117 (2007), STS-128 (2009)",3,039:14:18,1996.0,16.0,Management,3/31/1957,Texas,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),3,950,4,25.0,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",0,0
Paul Lockhart,United States,Man,"STS-111 (2002), STS-113 (2002)",2,028:15:24,1996.0,16.0,Retired,4/28/1956,Texas,Texas Tech University; University of Texas,Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),2,663,0,0.0,"STS-111 (Endeavor), STS-113 (Endeavor)",0,0
Paul Scully-Power,United States,Man,STS-41-G (1984),1,008:05:23,0.0,0.0,Retired,5/28/1944,Australia,University of Sydney,Applied Mathematics,0,0,0,1,197,0,0.0,STS 41-G (Challenger),0,0
Paul W. Richards,United States,Man,STS-102 (2001),1,012:19:51,1996.0,16.0,Management,5/20/1964,Pennsylvania,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,0,0,1,307,1,6.0,STS-102 (Discovery),0,0
Paul Weitz,United States,Man,"Skylab 2 (1973), STS-6 (1983)",2,033:01:13,1966.0,5.0,Retired,6/25/1932,Pennsylvania,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,793,1,2.0,"Skylab 2, STS-6 (Challenger)",0,0
Peggy Whitson,United States,Woman,"STS-111 (2002), Soyuz TMA-11 (2007), Soyuz MS-03 (2016)",3,665:22:27,1996.0,16.0,Active,2/9/1960,Iowa,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,0,0,3,11698,7,46.0,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",0,0
Peter Wisoff,United States,Man,"STS-57 (1993), STS-68 (1994), STS-81 (1997), STS-92 (2000)",4,044:08:10,1990.0,13.0,Retired,8/16/1958,Virginia,University of Virginia; Stanford University,Physics,Applied Physics,0,0,4,1064,3,20.0,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",0,0
Pierre Thuot,United States,Man,"STS-36 (1990), STS-49 (1992), STS-62 (1994)",3,027:08:53,1985.0,11.0,Retired,5/19/1955,Connecticut,US Naval Academy; University of Southern California,Physics,Systems Management,Commander,US Navy,3,654,3,17.0,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",0,0
Piers Sellers,United States,Man,"STS-112 (2002), STS-121 (2006), STS-132 (2010)",3,035:09:04,1996.0,16.0,Management,4/11/1955,England,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,0,0,3,839,6,41.0,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",0,0
Randolph Bresnik,United States,Man,"STS-129 (2009), Soyuz MS-05 (2017)",2,149:12:13,2004.0,19.0,Active,9/11/1967,Kentucky,The Citadel; University of Tennessee-Knoxville,Mathematics,Aviation Systems,Colonel,US Marine Corps,1,259,2,12.0,STS-129 (Atlantis),0,0
Rex Walheim,United States,Man,"STS-110 (2002), STS-122 (2008), STS-135 (2011)",3,036:08:32,1996.0,16.0,Active,10/10/1962,California,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,Colonel,US Air Force (Retired),3,872,5,36.0,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",0,0
Richard Hieb,United States,Man,"STS-39 (1991), STS-49 (1992), STS-65 (1994)",3,032:00:35,1985.0,11.0,Retired,9/21/1955,North Dakota,Northwest Nazarene College; University of Colorado,Mathematics & Physics,Aerospace Engineering,0,0,3,766,3,18.0,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",0,0
Richard Linnehan,United States,Man,"STS-78 (1996), STS-90 (1998), STS-109 (2002), STS-123 (2008)",4,059:12:02,1992.0,14.0,Management,9/19/1957,Massachusetts,University of New Hampshire; Ohio State University; Harvard University,Animal Science,Veterinary Medicine; Public Administration,0,0,4,1427,6,43.0,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)",0,0
Richard Mastracchio,United States,Man,"STS-106 (2000), STS-118 (2007), STS-131 (2010), Soyuz TMA-11M (2013)",4,226:13:37,1996.0,16.0,Active,2/11/1960,Connecticut,University of Connecticut; Rensselaer Polytechnic Institute; University of Houston-Clear Lake,Electrical Engineering; Computer Science,Electrical Engineering; Physical Sciences,0,0,4,5461,9,53.0,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38/39 (Soyuz)",0,0
Richard Mullane,United States,Man,"STS-41-D (1984), STS-27 (1988), STS-36 (1990)",3,014:20:20,1978.0,8.0,Retired,9/10/1945,Texas,US Military Academy; US Air Force Institute of Technology,Military Engineering,Aeronautical Engineering,Colonel,US Air Force (Retired),3,356,0,0.0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",0,0
Richard N. Richards,United States,Man,"STS-28 (1989), STS-41 (1990), STS-50 (1992), STS-64 (1994)",4,033:21:30,1980.0,9.0,Retired,8/24/1946,Florida,University of Missouri; University of West Florida,Chemical Engineering,Aeronautical Systems,Captain,US Navy (Retired),4,813,0,0.0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",0,0
Richard O. Covey,United States,Man,"STS-51-I (1985), STS-26 (1988), STS-38 (1990), STS-61 (1993)",4,026:21:10,1978.0,8.0,Retired,8/1/1946,Arkansas,US Air Force Academy; Purdue University,Engineering Science,Aeronautics & Astronautics,Colonel,US Air Force (Retired),4,645,0,0.0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",0,0
Richard Searfoss,United States,Man,"STS-58 (1993), STS-76 (1996), STS-90 (1998)",3,039:03:18,1990.0,13.0,Retired,6/5/1956,Michigan,US Air Force Academy; California Institute of Technology,Aeronautical Engineering,Aeronautics,Colonel,US Air Force (Retired),3,939,0,0.0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",0,0
Richard Truly,United States,Man,"STS-2 (1981), STS-8 (1983)",2,008:07:21,1969.0,7.0,Retired,11/12/1937,Mississippi,Georgia Institute of Technology,Aeronautical Engineering,0,Vice Admiral,US Navy (Retired),2,199,0,0.0,"STS-2 (Columbia), STS-8 (Challenger)",0,0
Rick Husband,United States,Man,"STS-96 (1999), STS-107 (2003)",2,025:13:33,1995.0,15.0,Deceased,7/12/1957,Texas,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,617,0,0.0,"STS-96 (Discovery), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
Robert Crippen,United States,Man,"STS-1 (1981), STS-7 (1983), STS-41-C (1984), STS-41-G (1984)",4,023:13:48,1969.0,7.0,Retired,9/11/1937,Texas,University of Texas,Aerospace Engineering,0,Captain,US Navy (Retired),4,565,0,0.0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",0,0
Robert D. Cabana,United States,Man,"STS-41 (1990), STS-53 (1992), STS-65 (1994), STS-88 (1998)",4,037:22:41,1985.0,11.0,Management,1/23/1949,Minnesota,US Naval Academy,Mathematics,0,Colonel,US Marine Corps (Retired),4,910,0,0.0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",0,0
Robert J. Cenker,United States,Man,STS-61-C (1986),1,006:02:03,0.0,0.0,Retired,11/5/1948,Pennsylvania,Pennsylvania State University; Rutgers University,Aerospace Engineering,Aerospace Engineering; Electrical Engineering,0,0,1,146,0,0.0,STS 61-C (Columbia),0,0
Robert L. Behnken,United States,Man,"STS-123 (2008), STS-130 (2010), Crew Dragon Demo-2 (2020)",3,093:11:45,2000.0,18.0,Active,7/28/1970,Missouri,Washington University; California Institute of Technology,Physics & Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,708,6,37.0,"STS-123 (Endeavor), STS-130 (Endeavor)",0,0
Robert L. Gibson,United States,Man,"STS-41-B (1984), STS-61-C (1986), STS-27 (1988), STS-47 (1992), STS-71 (1995)",5,036:04:18,1978.0,8.0,Retired,10/30/1946,New York,California Polytechnic Institute,Aeronautical Engineering,0,Captain,US Navy (Retired),5,868,0,0.0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",0,0
Robert Overmyer,United States,Man,"STS-5 (1982), STS-51-B (1985)",2,012:02:23,1969.0,7.0,Deceased,7/14/1936,Ohio,Baldwin Wallace College; US Naval Postgraduate School,Physics,Aeronautics,Colonel,US Marine Corps (Retired),2,290,0,0.0,"STS-5 (Columbia), STS 51-B (Challenger)",3/22/1996,0
Robert Parker,United States,Man,"STS-9 (1983), STS-35 (1990)",2,019:05:52,1967.0,6.0,Retired,12/14/1936,New York,Amherst College; California Institute of Technology,Physics & Astronomy,Astronomy,0,0,2,462,0,0.0,"STS-9 (Columbia), STS-35 (Columbia)",0,0
Robert S. Kimbrough,United States,Man,"STS-126 (2008), Soyuz MS-02 (2016), SpaceX Crew-2 (2021)",3,1800:06:54,2004.0,19.0,Active,6/4/1967,Texas,US Military Academy; Georgia Institute of Technology,Aerospace Engineering,Operations Research,Colonel,US Army,3,3720,4,25.0,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",0,0
Robert Springer,United States,Man,"STS-29 (1989), STS-38 (1990)",2,009:21:33,1980.0,9.0,Retired,5/21/1942,Missouri,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,Colonel,US Marine Corps (Retired),2,237,0,0.0,"STS-29 (Discovery), STS-38 (Atlantis)",0,0
Robert Stewart,United States,Man,"STS-41-B (1984), STS-51-J (1985)",2,012:01:00,1978.0,8.0,Retired,8/13/1942,District of Columbia,University of Southern Mississippi; University of Texas-Arlington,Mathematics,Aerospace Engineering,Brigadier General,US Army (Retired),2,289,2,12.0,"STS 41-B (Challenger), STS 51-J (Atlantis)",0,0
Roger K. Crouch,United States,Man,"STS-83 (1997), STS-94 (1997)",2,019:15:57,0.0,0.0,Retired,9/12/1940,Tennessee,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,Physics,Physics,0,0,1,471,0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",0,0
Ronald A. Parise,United States,Man,"STS-35 (1990), STS-67 (1995)",2,025:14:13,0.0,0.0,Deceased,5/24/1951,Ohio,Youngstown State University; University of Florida,Physics,Astronomy,0,0,2,614,0,0.0,"STS-35 (Columbia), STS-67 (Endeavor)",5/9/2008,0
Ronald Grabe,United States,Man,"STS-51-J (1985), STS-30 (1989), STS-42 (1992), STS-57 (1993)",4,026:03:40,1980.0,9.0,Retired,6/13/1945,New York,US Air Force Academy,Engineering Science,0,Colonel,US Air Force (Retired),4,627,0,0.0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",0,0
Ronald McNair,United States,Man,STS-41-B (1984),1,007:23:15,1978.0,8.0,Deceased,10/21/1950,South Carolina,North Carolina A&T State College; MIT,Physics,Physics,0,0,2,191,0,0.0,"STS 41-B (Challenger), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Ronald Sega,United States,Man,"STS-60 (1994), STS-76 (1996)",2,017:12:25,1990.0,13.0,Retired,12/4/1952,Ohio,US Air Force Academy; Ohio State University; University of Colorado,Physics & Mathematics,Physics; Electrical Engineering,Colonel,US Air Force Reserves (Retired),2,420,0,0.0,"STS-60 (Discovery), STS-76 (Atlantis)",0,0
S. Christa McAuliffe,United States,Woman,STS-51-L (1986),1,000:00:01,0.0,0.0,Deceased,9/2/1948,Massachusetts,Framingham State College; Bowie State College,Education,Education,0,0,1,0,0,0.0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
Sally Ride,United States,Woman,"STS-7 (1983), STS-41-G (1984)",2,014:07:47,1978.0,8.0,Deceased,5/26/1951,California,Stanford University,Physics; English,Physics,0,0,2,343,0,0.0,"STS-7 (Challenger), STS 41-G (Challenger)",7/23/2012,0
Samuel T. Durrance,United States,Man,"STS-35 (1990), STS-67 (1995)",2,025:14:13,0.0,0.0,Retired,9/17/1943,Florida,California State University; University of Colorado,Physics,Physics; Astrogeophysics,0,0,2,614,0,0.0,"STS-35 (Columbia), STS-67 (Endeavor)",0,0
Sandra Magnus,United States,Woman,"STS-112 (2002), STS-126 (2008), STS-135 (2011)",3,157:08:44,1996.0,16.0,Retired,10/30/1964,Illinois,University of Missouri-Rolla; Georgia Institute of Technology,Physics,Electrical Engineering; Materials Science & Engineering,0,0,3,3776,0,0.0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",0,0
Scott Altman,United States,Man,"STS-90 (1998), STS-106 (2000), STS-109 (2002), STS-125 (2009)",4,050:12:48,1995.0,15.0,Retired,8/15/1959,Illinois,University of Illinois; US Naval Postgraduate School,Aeronautical & Astronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1236,0,0.0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",0,0
Scott D. Tingle,United States,Man,Soyuz MS-07 (2017),1,168:05:18,2009.0,20.0,Active,7/19/1965,Massachusetts,Southeastern Massachusetts University; Purdue University,Mechanical Engineering,Mechanical Engineering,Commander,US Navy,0,0,0,0.0,0,0,0
Scott Horowitz,United States,Man,"STS-75 (1996), STS-82 (1997), STS-101 (2000), STS-105 (2001)",4,047:10:38,1992.0,14.0,Retired,3/24/1957,Pennsylvania,California State University-Northridge; Georgia Institute of Technology,Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),4,1137,0,0.0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",0,0
Scott Kelly,United States,Man,"STS-103 (1999), STS-118 (2007), Soyuz TMA-01M (2010), Soyuz TMA-16M (2015)",4,521:10:33,1996.0,16.0,Active,2/21/1964,New Jersey,State University of New York Maritime College; University of Tennessee-Knoxville,Electrical Engineering,Aviation Systems,Captain,US Navy (Retired),4,12490,3,18.0,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",0,0
Shannon Lucid,United States,Woman,"STS-51-G (1985), STS-34 (1989), STS-43 (1991), STS-58 (1993), STS-76 (1996)",5,223:02:52,1978.0,8.0,Retired,1/14/1943,China,University of Oklahoma,Chemistry,Biochemistry,0,0,5,5354,0,0.0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",0,0
Shannon Walker,United States,Woman,"Soyuz TMA-19 (2010), SpaceX Crew-1 (2020)",2,330:13:40,2004.0,19.0,Active,6/4/1965,Texas,Rice University,Space Physics,Space Physics,0,0,1,3919,0,0.0,ISS-24/25 (Soyuz),0,0
Sherwood Spring,United States,Man,STS-61-B (1985),1,006:21:04,1980.0,9.0,Retired,9/23/1944,Connecticut,US Military Academy; University of Arizona,Engineering,Aerospace Engineering,Colonel,US Army (Retired),1,165,2,12.0,STS 61-B (Atlantis),0,0
Sidney Gutierrez,United States,Man,"STS-40 (1991), STS-59 (1994)",2,020:08:04,1984.0,10.0,Retired,6/27/1951,New Mexico,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,Colonel,US Air Force (Retired),2,488,0,0.0,"STS-40 (Columbia), STS-59 (Endeavor)",0,0
Stanley G. Love,United States,Man,STS-122 (2008),1,012:18:22,1998.0,17.0,Management,6/8/1965,California,Harvey Mudd College; University of Washington,Physics,Astronomy,0,0,1,306,2,15.0,STS-122 (Atlantis),0,0
Stephanie Wilson,United States,Woman,"STS-121 (2006), STS-120 (2007), STS-131 (2010)",3,042:23:47,1996.0,16.0,Active,9/27/1966,Massachusetts,Harvard University; University of Texas,Engineering Science,Aerospace Engineering,0,0,3,1031,0,0.0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",0,0
Stephen Frick,United States,Man,"STS-110 (2002), STS-122 (2008)",2,023:14:04,1996.0,16.0,Management,9/30/1961,Pennsylvania,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,566,0,0.0,"STS-110 (Atlantis), STS-122 (Atlantis)",0,0
Stephen G. Bowen,United States,Man,"STS-126 (2008), STS-132 (2010), STS-133 (2011)",3,040:10:04,2000.0,18.0,Active,2/13/1964,Massachusetts,US Naval Academy; MIT,Electrical Engineering,Ocean Engineering,Captain,US Navy,3,970,7,47.0,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",0,0
Stephen Oswald,United States,Man,"STS-42 (1992), STS-56 (1993), STS-67 (1995)",3,033:22:31,1985.0,11.0,Retired,6/30/1951,Washington,US Naval Academy,Aerospace Engineering,0,0,0,3,814,0,0.0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",0,0
Stephen Robinson,United States,Man,"STS-85 (1997), STS-95 (1998), STS-114 (2005), STS-130 (2010)",4,048:09:51,1995.0,15.0,Retired,10/26/1955,California,University of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,0,0,4,1162,3,20.0,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",0,0
Steven Hawley,United States,Man,"STS-41-D (1984), STS-61-C (1986), STS-31 (1990), STS-82 (1997), STS-93 (1999)",5,032:02:42,1978.0,8.0,Retired,12/12/1951,Kansas,University of Kansas; University of California,Physics & Astronomy,Astronomy & Astrophysics,0,0,5,770,0,0.0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",0,0
Steven Lindsey,United States,Man,"STS-87 (1997), STS-95 (1998), STS-104 (2001), STS-121 (2006), STS-133 (2011)",5,062:22:34,1995.0,15.0,Retired,8/24/1960,California,US Air Force Academy; US Air Force Institute of Technology,Engineering Science,Aeronautical Engineering,Colonel,US Air Force (Retired),5,1510,0,0.0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",0,0
Steven R. Nagel,United States,Man,"STS-51-G (1985), STS-61-A (1985), STS-37 (1991), STS-55 (1993)",4,030:01:36,1978.0,8.0,Retired,10/27/1946,Illinois,University of Illinois; California State University-Fresno,Aerospace Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),4,721,0,0.0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",0,0
Steven Smith,United States,Man,"STS-68 (1994), STS-82 (1997), STS-103 (1999), STS-110 (2002)",4,041:00:17,1992.0,14.0,Management,12/30/1958,Arizona,Stanford University,Electrical Engineering,Electrical Engineering,0,0,4,960,7,49.0,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",0,0
Steven Swanson,United States,Man,"STS-117 (2007), STS-119 (2009), Soyuz TMA-12M (2014)",3,195:20:47,1998.0,17.0,Active,12/3/1960,New York,University of Colorado; Florida Atlantic University; Texas A&M University,Engineering Physics,Computer Systems; Computer Science,0,0,3,4700,5,28.0,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",0,0
Stuart Roosa,United States,Man,Apollo 14 (1971),1,009:00:01,1966.0,5.0,Deceased,8/16/1933,Colorado,University of Colorado,Aeronautical Engineering,0,Colonel,US Air Force (Retired),1,216,0,0.0,Apollo 14,12/12/1994,0
"Sunita ""Suni"" Williams",United States,Woman,"STS-116 (2006), Soyuz TMA-05M (2012)",2,321:17:15,1998.0,17.0,Active,9/19/1965,Ohio,US Naval Academy; Florida Institute of Technology,Physical Science,Engineering Management,Captain,US Navy,2,7721,7,50.0,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (Soyuz)",0,0
Susan Helms,United States,Woman,"STS-54 (1993), STS-64 (1994), STS-78 (1996), STS-101 (2000), STS-102 (2001)",5,210:23:07,1990.0,13.0,Retired,2/26/1958,North Carolina,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Lieutenant General,US Air Force,5,5063,1,9.0,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",0,0
Tamara E. Jernigan,United States,Woman,"STS-40 (1991), STS-52 (1992), STS-67 (1995), STS-80 (1996), STS-96 (1999)",5,062:19:29,1985.0,11.0,Retired,5/7/1959,Tennessee,Stanford University; University of California-Berkeley; Rice University,Physics,Engineering Science; Astronomy,0,0,5,1489,1,8.0,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",0,0
Taylor Wang,United States,Man,STS-51-B (1985),1,007:00:08,0.0,0.0,Retired,6/16/1940,China,University of California at Los Angeles,Physics,Physics,0,0,1,168,0,0.0,STS 51-B (Challenger),0,0
Terence Henricks,United States,Man,"STS-44 (1991), STS-55 (1993), STS-70 (1995), STS-78 (1996)",4,042:18:38,1985.0,11.0,Retired,7/5/1952,Ohio,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,Colonel,US Air Force (Retired),4,1026,0,0.0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",0,0
Terrence Wilcutt,United States,Man,"STS-68 (1994), STS-79 (1996), STS-89 (1998), STS-106 (2000)",4,041:00:02,1990.0,13.0,Management,10/31/1949,Kentucky,Western Kentucky University,Mathematics,0,0,0,4,1008,0,0.0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",0,0
Terry Hart,United States,Man,STS-41-C (1984),1,006:23:40,1978.0,8.0,Retired,10/27/1946,Pennsylvania,Lehigh University; MIT; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,0,0,1,167,0,0.0,STS 41-C (Challenger),0,0
